category,main_category,name,num_reviews,price,rating
Makeup Primer,Makeup,Shake & Glow Dew Mist ,5,$14.99 ,4
Lipstick,Makeup,Matte Lip Stain ,6787,$11.99 ,4.4
Lipstick,Makeup,Ultra Matte Highly Pigmented Nude Lipstick ,226,$9.99 ,4.6
Mascara,Makeup,Eyelash Serum with Lash Caring Complex  ,6195,$14.99 ,3.8
Lipstick,Makeup,Pro-Matte Les Macarons Scented Liquid Lipstick ,681,$9.99 ,4.5
Eyeliner,Makeup,Flash Cat Eye Waterproof Brush Tip Liquid Eyeliner ,1116,$9.99 ,4.6
Lipstick,Makeup,"Plump and Shine Lip Color, Glossy Lip Color with Plumping Effect ",811,$9.99 ,4.5
Mascara,Makeup,Original Waterproof Lengthening Mascara ,266,$10.95 ,4.4
Blush,Makeup,Blush Please! ,37,$9.99 ,4.5
BB Cream,Makeup,Luminous Serum Tint Tinted Moisturizer ,357,$14.99 ,4.3
Makeup Primer,Makeup,Pro-Glow Lock Makeup Primer  ,228,$12.99 ,4.2
Highlighters,Makeup,Glow Nude Highlighter Palette ,161,$14.99 ,4.1
Highlighters,Makeup,Shimmerista Highlighting Powder ,151,$14.99 ,4.6
Highlighters,Makeup,Glow Amour Glow Boosting Drops ,171,$14.99 ,4.4
Highlighters,Makeup,Glotion Natural Glow Enhancer ,429,$14.99 ,4.4
Face Powder,Makeup,Pro-Sweep & Lock Loose Setting Face Powder  ,248,$9.99 ,4.2
Eyeliner,Makeup,"Pro-Last Waterproof, Up to 24HR Pencil Eyeliner ",454,$8.99 ,3.2
Mascara,Makeup,X Fiber Mascara ,311,$11.95 ,4.1
Mascara,Makeup,X Fiber Waterproof Mascara ,23,$11.95 ,4.1
Concealer,Makeup,Super-Blendable Multi-Use Concealer ,676,$12.99 ,3.9
Face Powder,Makeup,Bronze It Bronzer ,18,$14.99 ,4.8
Lipstick,Makeup,Pro Matte Les Chocolats Scented Liquid Lipstick ,662,$9.99 ,3.9
Blush,Makeup,Longwear Blush Shaping Sticks ,161,$12.99 ,4.3
Highlighters,Makeup,Longwear Highlighter Shaping Sticks ,230,$12.99 ,4.5
Eyeliner,Makeup,Lash Paradise™ Liquid Eyeliner ,486,$9.99 ,4.1
Foundation Makeup,Makeup,Longwear Foundation Shaping Sticks ,539,$12.99 ,4
Mascara,Makeup,Lash Paradise™ Mascara Primer/Base ,534,$10.95 ,4.3
Eye Shadow,Makeup, Enchanted Scented Eyeshadow Palette  ,368,$14.99 ,4.4
Foundation Makeup,Makeup,Total Cover Foundation ,1852,$12.99 ,4.2
Makeup Primer,Makeup,Radiance Booster  ,10,$12.99 ,4.5
Makeup Blenders,Makeup,Blend Artist Foundation Blender  ,1430,$7.99 ,4.6
Lipstick,Makeup,Crushed Foils Metallic Lipstick ,3,$9.99 ,5
Lipstick,Makeup,Pro-Last Lipcolor ,192,$12.99 ,3.6
Mascara,Makeup,Lash Paradise™ Waterproof Mascara ,677,$10.95 ,4.5
Mascara,Makeup,Lash Paradise™ Washable Mascara ,1445,$10.95 ,4.2
Eyebrow Makeup,Makeup,Shape & Fill Mechanical Pencil ,233,$10.99 ,4.3
Eyeliner,Makeup,Never Fail™ Eyeliner ,407,$8.95 ,4
Lipstick,Makeup,Matte Lipstick ,849,$9.99 ,4.6
Eyebrow Makeup,Makeup,Definer Waterproof Eyebrow Mechanical Pencil ,826,$8.99 ,4.6
Concealer,Makeup,Pro-Glow Concealer ,163,$9.99 ,4.2
Lipstick,Makeup,Pro-Matte Liquid Lipstick ,621,$9.99 ,4.4
Lip Liner,Makeup,Matte Lip Liner ,471,$8.99 ,4.4
Eyeliner,Makeup,The Super Slim Liquid Eyeliner ,104,$8.95 ,3.1
Eye Shadow,Makeup,Metallics Eye Shadow ,135,$8.99 ,4.6
Eye Shadow,Makeup,Monos Eyeshadow ,49,$5.99 ,4.6
Concealer,Makeup,Color Correcting Crayon ,7,$8.95 ,4.9
